description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
Children's fitness programs,1979,2007,Children's Businesses,$30K - $90K,Skyhawks Sports & Supertots Sports Academy,Stack Sports,#147,Ranked #156 last year,"[{""year"":""2013"",""us"":""25"",""fgn"":6,""com"":""71"",""total"":102},{""year"":""2014"",""us"":""45"",""fgn"":6,""com"":""71"",""total"":122},{""year"":""2015"",""us"":""60"",""fgn"":6,""com"":""38"",""total"":104},{""year"":""2016"",""us"":""60"",""fgn"":0,""com"":""42"",""total"":102},{""year"":""2017"",""us"":""62"",""fgn"":0,""com"":""63"",""total"":125},{""year"":""2018"",""us"":""90"",""fgn"":1,""com"":""50"",""total"":141},{""year"":""2019"",""us"":""99"",""fgn"":3,""com"":""47"",""total"":149},{""year"":""2020"",""us"":""122"",""fgn"":3,""com"":""46"",""total"":171},{""year"":""2021"",""us"":""144"",""fgn"":3,""com"":""56"",""total"":203},{""year"":""2022"",""us"":""154"",""fgn"":3,""com"":""74"",""total"":231}]"
"Commercial, residential, association, and short-term rental property management",2008,2008,Business Services,$58K - $225K,Property Management Inc.,Property Management Inc.,#146,Ranked #218 last year,"[{""year"":""2013"",""us"":""46"",""fgn"":2,""com"":""2"",""total"":50},{""year"":""2014"",""us"":""78"",""fgn"":2,""com"":""2"",""total"":82},{""year"":""2015"",""us"":""102"",""fgn"":2,""com"":""2"",""total"":106},{""year"":""2016"",""us"":""151"",""fgn"":2,""com"":""2"",""total"":155},{""year"":""2017"",""us"":""197"",""fgn"":2,""com"":""1"",""total"":200},{""year"":""2018"",""us"":""207"",""fgn"":2,""com"":""1"",""total"":210},{""year"":""2019"",""us"":""245"",""fgn"":2,""com"":""1"",""total"":248},{""year"":""2020"",""us"":""254"",""fgn"":2,""com"":""1"",""total"":257},{""year"":""2021"",""us"":""338"",""fgn"":3,""com"":""2"",""total"":343},{""year"":""2022"",""us"":""375"",""fgn"":3,""com"":""2"",""total"":380}]"
"Coffee, baked goods, soups, sandwiches",,1965,Food,$247K - $2.2M,Tim Hortons,,#145,Not ranked last year,"[{""year"":""2019"",""us"":""655"",""fgn"":4191,""com"":""7"",""total"":4853},{""year"":""2020"",""us"":""629"",""fgn"":4306,""com"":""22"",""total"":4957},{""year"":""2021"",""us"":""617"",""fgn"":4456,""com"":""4"",""total"":5077},{""year"":""2022"",""us"":""622"",""fgn"":4665,""com"":""4"",""total"":5291}]"
Outdoor pest control,,2013,Maintenance,$93K - $128K,Mosquito Shield,,#144,Ranked #216 last year,"[{""year"":""2013"",""us"":""11"",""fgn"":0,""com"":""2"",""total"":13},{""year"":""2014"",""us"":""27"",""fgn"":0,""com"":""2"",""total"":29},{""year"":""2015"",""us"":""31"",""fgn"":0,""com"":""2"",""total"":33},{""year"":""2016"",""us"":""37"",""fgn"":0,""com"":""2"",""total"":39},{""year"":""2017"",""us"":""58"",""fgn"":0,""com"":""2"",""total"":60},{""year"":""2018"",""us"":""54"",""fgn"":0,""com"":""2"",""total"":56},{""year"":""2019"",""us"":""46"",""fgn"":0,""com"":""1"",""total"":47},{""year"":""2020"",""us"":""53"",""fgn"":0,""com"":""1"",""total"":54},{""year"":""2021"",""us"":""165"",""fgn"":0,""com"":""2"",""total"":167},{""year"":""2022"",""us"":""317"",""fgn"":0,""com"":""0"",""total"":317}]"
Kitchen and bathroom surface refinishing,1977,1980,Home Improvement,$96K - $196K,Miracle Method Surface Refinishing,Miracle Method of the United States,#143,Ranked #147 last year,"[{""year"":""2013"",""us"":""128"",""fgn"":1,""com"":""1"",""total"":130},{""year"":""2014"",""us"":""134"",""fgn"":4,""com"":""1"",""total"":139},{""year"":""2015"",""us"":""134"",""fgn"":4,""com"":""1"",""total"":139},{""year"":""2016"",""us"":""133"",""fgn"":3,""com"":""1"",""total"":137},{""year"":""2017"",""us"":""143"",""fgn"":1,""com"":""1"",""total"":145},{""year"":""2018"",""us"":""148"",""fgn"":1,""com"":""1"",""total"":150},{""year"":""2019"",""us"":""152"",""fgn"":1,""com"":""1"",""total"":154},{""year"":""2020"",""us"":""159"",""fgn"":0,""com"":""1"",""total"":160},{""year"":""2021"",""us"":""157"",""fgn"":0,""com"":""1"",""total"":158},{""year"":""2022"",""us"":""166"",""fgn"":0,""com"":""1"",""total"":167}]"
Residential cleaning,1979,1979,Maintenance,$127K - $184K,Molly Maid,Neighborly,#142,Ranked #69 last year,"[{""year"":""2013"",""us"":""442"",""fgn"":0,""com"":""0"",""total"":442},{""year"":""2014"",""us"":""457"",""fgn"":0,""com"":""0"",""total"":457},{""year"":""2015"",""us"":""472"",""fgn"":0,""com"":""0"",""total"":472},{""year"":""2016"",""us"":""474"",""fgn"":0,""com"":""0"",""total"":474},{""year"":""2017"",""us"":""466"",""fgn"":0,""com"":""0"",""total"":466},{""year"":""2018"",""us"":""475"",""fgn"":0,""com"":""0"",""total"":475},{""year"":""2019"",""us"":""485"",""fgn"":0,""com"":""0"",""total"":485},{""year"":""2020"",""us"":""492"",""fgn"":0,""com"":""0"",""total"":492},{""year"":""2021"",""us"":""496"",""fgn"":0,""com"":""0"",""total"":496},{""year"":""2022"",""us"":""488"",""fgn"":0,""com"":""0"",""total"":488}]"
"Medical/nonmedical home care, medical staffing",2002,2005,Personal-Care Businesses,$111K - $196K,BrightStar Care,BrightStar Group Holdings Inc.,#141,Ranked #155 last year,"[{""year"":""2013"",""us"":""253"",""fgn"":1,""com"":""2"",""total"":256},{""year"":""2014"",""us"":""256"",""fgn"":0,""com"":""2"",""total"":258},{""year"":""2015"",""us"":""282"",""fgn"":0,""com"":""3"",""total"":285},{""year"":""2016"",""us"":""305"",""fgn"":0,""com"":""4"",""total"":309},{""year"":""2017"",""us"":""310"",""fgn"":1,""com"":""4"",""total"":315},{""year"":""2018"",""us"":""327"",""fgn"":1,""com"":""4"",""total"":332},{""year"":""2019"",""us"":""322"",""fgn"":0,""com"":""12"",""total"":334},{""year"":""2020"",""us"":""320"",""fgn"":0,""com"":""5"",""total"":325},{""year"":""2021"",""us"":""339"",""fgn"":0,""com"":""3"",""total"":342},{""year"":""2022"",""us"":""362"",""fgn"":0,""com"":""3"",""total"":365},{""year"":""2023"",""us"":""355"",""fgn"":0,""com"":""30"",""total"":385}]"
Martial arts classes,2004,2018,Children's Businesses,$184K - $422K,Premier Martial Arts,Unleashed Brands LLC,#140,Not ranked last year,"[{""year"":""2019"",""us"":""68"",""fgn"":1,""com"":""4"",""total"":73},{""year"":""2020"",""us"":""84"",""fgn"":1,""com"":""5"",""total"":90},{""year"":""2021"",""us"":""135"",""fgn"":1,""com"":""9"",""total"":145},{""year"":""2022"",""us"":""218"",""fgn"":1,""com"":""9"",""total"":228}]"
Swimming lessons,1991,2007,Children's Businesses,$984K - $2M,Aqua-Tots Swim Schools,Aqua-Tots Swim School Holding LLC,#139,Ranked #136 last year,"[{""year"":""2013"",""us"":""27"",""fgn"":2,""com"":""1"",""total"":30},{""year"":""2014"",""us"":""40"",""fgn"":2,""com"":""1"",""total"":43},{""year"":""2015"",""us"":""50"",""fgn"":3,""com"":""1"",""total"":54},{""year"":""2016"",""us"":""63"",""fgn"":5,""com"":""1"",""total"":69},{""year"":""2017"",""us"":""65"",""fgn"":7,""com"":""1"",""total"":73},{""year"":""2018"",""us"":""80"",""fgn"":10,""com"":""1"",""total"":91},{""year"":""2019"",""us"":""89"",""fgn"":13,""com"":""1"",""total"":103},{""year"":""2020"",""us"":""93"",""fgn"":17,""com"":""1"",""total"":111},{""year"":""2021"",""us"":""100"",""fgn"":19,""com"":""1"",""total"":120},{""year"":""2022"",""us"":""103"",""fgn"":22,""com"":""1"",""total"":126},{""year"":""2023"",""us"":""110"",""fgn"":22,""com"":""1"",""total"":133}]"
Residential kitchen remodeling,1986,1988,Home Improvement,$130K - $189K,Kitchen Tune-Up,Home Franchise Concepts,#138,Ranked #263 last year,"[{""year"":""2013"",""us"":""158"",""fgn"":4,""com"":""0"",""total"":162},{""year"":""2014"",""us"":""162"",""fgn"":3,""com"":""0"",""total"":165},{""year"":""2015"",""us"":""185"",""fgn"":3,""com"":""0"",""total"":188},{""year"":""2016"",""us"":""188"",""fgn"":0,""com"":""0"",""total"":188},{""year"":""2017"",""us"":""190"",""fgn"":0,""com"":""0"",""total"":190},{""year"":""2018"",""us"":""190"",""fgn"":0,""com"":""0"",""total"":190},{""year"":""2019"",""us"":""198"",""fgn"":0,""com"":""0"",""total"":198},{""year"":""2020"",""us"":""209"",""fgn"":0,""com"":""0"",""total"":209},{""year"":""2021"",""us"":""213"",""fgn"":0,""com"":""0"",""total"":213},{""year"":""2022"",""us"":""253"",""fgn"":8,""com"":""0"",""total"":261}]"
Personal training,2000,2010,Health & Wellness,$148K - $382K,The Exercise Coach,Exercise Coach USA LLC,#137,Ranked #204 last year,"[{""year"":""2013"",""us"":""13"",""fgn"":0,""com"":""2"",""total"":15},{""year"":""2014"",""us"":""19"",""fgn"":0,""com"":""2"",""total"":21},{""year"":""2015"",""us"":""32"",""fgn"":0,""com"":""2"",""total"":34},{""year"":""2016"",""us"":""34"",""fgn"":0,""com"":""2"",""total"":36},{""year"":""2017"",""us"":""35"",""fgn"":1,""com"":""2"",""total"":38},{""year"":""2018"",""us"":""39"",""fgn"":6,""com"":""2"",""total"":47},{""year"":""2019"",""us"":""54"",""fgn"":13,""com"":""2"",""total"":69},{""year"":""2020"",""us"":""89"",""fgn"":30,""com"":""2"",""total"":121},{""year"":""2021"",""us"":""120"",""fgn"":35,""com"":""2"",""total"":157},{""year"":""2022"",""us"":""157"",""fgn"":42,""com"":""0"",""total"":199}]"
Commercial cleaning and facility maintenance,1961,2001,Maintenance,$249K - $417K,City Wide Facility Solutions,City Wide Holding Company Inc.,#136,Ranked #191 last year,"[{""year"":""2013"",""us"":""34"",""fgn"":0,""com"":""1"",""total"":35},{""year"":""2014"",""us"":""39"",""fgn"":0,""com"":""1"",""total"":40},{""year"":""2015"",""us"":""41"",""fgn"":0,""com"":""1"",""total"":42},{""year"":""2016"",""us"":""44"",""fgn"":0,""com"":""1"",""total"":45},{""year"":""2017"",""us"":""51"",""fgn"":0,""com"":""1"",""total"":52},{""year"":""2018"",""us"":""54"",""fgn"":0,""com"":""1"",""total"":55},{""year"":""2019"",""us"":""56"",""fgn"":0,""com"":""1"",""total"":57},{""year"":""2020"",""us"":""64"",""fgn"":1,""com"":""1"",""total"":66},{""year"":""2021"",""us"":""67"",""fgn"":1,""com"":""1"",""total"":69},{""year"":""2022"",""us"":""77"",""fgn"":1,""com"":""1"",""total"":79}]"
Residential and commercial appliance installation and repairs,1996,1996,Maintenance,$81K - $159K,Mr. Appliance,Neighborly,#135,Ranked #154 last year,"[{""year"":""2013"",""us"":""148"",""fgn"":5,""com"":""0"",""total"":153},{""year"":""2014"",""us"":""168"",""fgn"":3,""com"":""0"",""total"":171},{""year"":""2015"",""us"":""170"",""fgn"":5,""com"":""0"",""total"":175},{""year"":""2016"",""us"":""216"",""fgn"":6,""com"":""0"",""total"":222},{""year"":""2017"",""us"":""202"",""fgn"":8,""com"":""0"",""total"":210},{""year"":""2018"",""us"":""213"",""fgn"":17,""com"":""0"",""total"":230},{""year"":""2019"",""us"":""250"",""fgn"":18,""com"":""0"",""total"":268},{""year"":""2020"",""us"":""277"",""fgn"":19,""com"":""0"",""total"":296},{""year"":""2021"",""us"":""288"",""fgn"":15,""com"":""0"",""total"":303},{""year"":""2022"",""us"":""337"",""fgn"":15,""com"":""0"",""total"":352}]"
Young-adult-clothing resale stores,2008,2008,Retail,$346K - $544K,Uptown Cheapskate,BaseCamp Franchising,#200,Ranked #178 last year,"[{""year"":""2013"",""us"":""30"",""fgn"":0,""com"":""2"",""total"":32},{""year"":""2014"",""us"":""41"",""fgn"":0,""com"":""2"",""total"":43},{""year"":""2015"",""us"":""46"",""fgn"":0,""com"":""2"",""total"":48},{""year"":""2016"",""us"":""48"",""fgn"":0,""com"":""3"",""total"":51},{""year"":""2017"",""us"":""56"",""fgn"":0,""com"":""2"",""total"":58},{""year"":""2018"",""us"":""65"",""fgn"":0,""com"":""2"",""total"":67},{""year"":""2019"",""us"":""71"",""fgn"":0,""com"":""2"",""total"":73},{""year"":""2020"",""us"":""80"",""fgn"":0,""com"":""5"",""total"":85},{""year"":""2021"",""us"":""85"",""fgn"":0,""com"":""6"",""total"":91},{""year"":""2022"",""us"":""88"",""fgn"":0,""com"":""14"",""total"":102}]"
Soft pretzels,1988,1989,Food,$146K - $524K,Auntie Anne's,Focus Brands,#199,Ranked #390 last year,"[{""year"":""2013"",""us"":""900"",""fgn"":375,""com"":""17"",""total"":1292},{""year"":""2014"",""us"":""1033"",""fgn"":466,""com"":""17"",""total"":1516},{""year"":""2015"",""us"":""1112"",""fgn"":490,""com"":""15"",""total"":1617},{""year"":""2016"",""us"":""1198"",""fgn"":536,""com"":""15"",""total"":1749},{""year"":""2017"",""us"":""1215"",""fgn"":599,""com"":""14"",""total"":1828},{""year"":""2018"",""us"":""1288"",""fgn"":646,""com"":""13"",""total"":1947},{""year"":""2019"",""us"":""1198"",""fgn"":694,""com"":""11"",""total"":1903},{""year"":""2020"",""us"":""1185"",""fgn"":731,""com"":""12"",""total"":1928},{""year"":""2021"",""us"":""1124"",""fgn"":767,""com"":""12"",""total"":1903},{""year"":""2022"",""us"":""1151"",""fgn"":767,""com"":""12"",""total"":1930}]"
Sign and lighting service and maintenance,1920,2011,Business Services,$65K - $352K,YESCO Sign & Lighting Service,YESCO,#198,Ranked #179 last year,"[{""year"":""2013"",""us"":""25"",""fgn"":4,""com"":""47"",""total"":76},{""year"":""2014"",""us"":""32"",""fgn"":5,""com"":""39"",""total"":76},{""year"":""2015"",""us"":""40"",""fgn"":4,""com"":""39"",""total"":83},{""year"":""2016"",""us"":""45"",""fgn"":2,""com"":""39"",""total"":86},{""year"":""2017"",""us"":""52"",""fgn"":5,""com"":""39"",""total"":96},{""year"":""2018"",""us"":""51"",""fgn"":6,""com"":""39"",""total"":96},{""year"":""2019"",""us"":""54"",""fgn"":7,""com"":""37"",""total"":98},{""year"":""2020"",""us"":""50"",""fgn"":7,""com"":""39"",""total"":96},{""year"":""2021"",""us"":""53"",""fgn"":8,""com"":""42"",""total"":103},{""year"":""2022"",""us"":""53"",""fgn"":7,""com"":""42"",""total"":102}]"
"Swimming pool maintenance, repairs, and renovations",2001,2005,Maintenance,$85K - $206K,ASP-America's Swimming Pool Company,Authority Brands,#197,Ranked #117 last year,"[{""year"":""2013"",""us"":""129"",""fgn"":0,""com"":""1"",""total"":130},{""year"":""2014"",""us"":""159"",""fgn"":0,""com"":""1"",""total"":160},{""year"":""2015"",""us"":""176"",""fgn"":0,""com"":""0"",""total"":176},{""year"":""2016"",""us"":""213"",""fgn"":0,""com"":""0"",""total"":213},{""year"":""2017"",""us"":""254"",""fgn"":0,""com"":""0"",""total"":254},{""year"":""2018"",""us"":""265"",""fgn"":0,""com"":""0"",""total"":265},{""year"":""2019"",""us"":""310"",""fgn"":0,""com"":""0"",""total"":310},{""year"":""2020"",""us"":""299"",""fgn"":0,""com"":""0"",""total"":299},{""year"":""2021"",""us"":""319"",""fgn"":0,""com"":""0"",""total"":319},{""year"":""2022"",""us"":""345"",""fgn"":0,""com"":""0"",""total"":345}]"
"Transmission and general auto repairs, diagnostic services",1963,1963,Automotive,$224K - $331K,AAMCO Transmissions and Total Car Care,American Driveline Systems Inc.,#196,Ranked #249 last year,"[{""year"":""2013"",""us"":""674"",""fgn"":13,""com"":""20"",""total"":707},{""year"":""2014"",""us"":""667"",""fgn"":10,""com"":""21"",""total"":698},{""year"":""2015"",""us"":""653"",""fgn"":10,""com"":""0"",""total"":663},{""year"":""2016"",""us"":""643"",""fgn"":8,""com"":""0"",""total"":651},{""year"":""2017"",""us"":""621"",""fgn"":9,""com"":""0"",""total"":630},{""year"":""2018"",""us"":""615"",""fgn"":9,""com"":""4"",""total"":628},{""year"":""2019"",""us"":""592"",""fgn"":6,""com"":""13"",""total"":611},{""year"":""2020"",""us"":""549"",""fgn"":7,""com"":""13"",""total"":569},{""year"":""2021"",""us"":""549"",""fgn"":6,""com"":""13"",""total"":568},{""year"":""2022"",""us"":""549"",""fgn"":6,""com"":""13"",""total"":568}]"
"Specialty ice cream, frozen yogurt, ices, sorbet",1988,1999,Food,$112K - $367K,Dippin' Dots,J & J Snacks Foods Corp.,#195,Ranked #223 last year,"[{""year"":""2013"",""us"":""112"",""fgn"":14,""com"":""1"",""total"":127},{""year"":""2014"",""us"":""116"",""fgn"":14,""com"":""1"",""total"":131},{""year"":""2015"",""us"":""115"",""fgn"":14,""com"":""1"",""total"":130},{""year"":""2016"",""us"":""120"",""fgn"":14,""com"":""1"",""total"":135},{""year"":""2017"",""us"":""201"",""fgn"":11,""com"":""1"",""total"":213},{""year"":""2018"",""us"":""208"",""fgn"":11,""com"":""1"",""total"":220},{""year"":""2019"",""us"":""213"",""fgn"":10,""com"":""0"",""total"":223},{""year"":""2020"",""us"":""215"",""fgn"":8,""com"":""0"",""total"":223},{""year"":""2021"",""us"":""219"",""fgn"":7,""com"":""0"",""total"":226},{""year"":""2022"",""us"":""228"",""fgn"":7,""com"":""0"",""total"":235}]"
Real estate,2014,2014,Services (Other),$16K - $220K,NextHome,"James Dwiggins, CEO & Cofounder",#194,Ranked #108 last year,"[{""year"":""2015"",""us"":""32"",""fgn"":0,""com"":""0"",""total"":32},{""year"":""2016"",""us"":""113"",""fgn"":0,""com"":""0"",""total"":113},{""year"":""2017"",""us"":""203"",""fgn"":0,""com"":""0"",""total"":203},{""year"":""2018"",""us"":""301"",""fgn"":0,""com"":""0"",""total"":301},{""year"":""2019"",""us"":""361"",""fgn"":0,""com"":""0"",""total"":361},{""year"":""2020"",""us"":""414"",""fgn"":0,""com"":""0"",""total"":414},{""year"":""2021"",""us"":""500"",""fgn"":0,""com"":""0"",""total"":500},{""year"":""2022"",""us"":""578"",""fgn"":0,""com"":""0"",""total"":578}]"
"Leather, plastic, and vinyl restoration and repair",1985,1987,Maintenance,$98K - $112K,Fibrenew,"Jesse Johnstone, President",#193,Ranked #215 last year,"[{""year"":""2013"",""us"":""123"",""fgn"":79,""com"":""0"",""total"":202},{""year"":""2014"",""us"":""146"",""fgn"":78,""com"":""0"",""total"":224},{""year"":""2015"",""us"":""149"",""fgn"":73,""com"":""0"",""total"":222},{""year"":""2016"",""us"":""166"",""fgn"":71,""com"":""0"",""total"":237},{""year"":""2017"",""us"":""163"",""fgn"":75,""com"":""0"",""total"":238},{""year"":""2018"",""us"":""165"",""fgn"":74,""com"":""0"",""total"":239},{""year"":""2019"",""us"":""163"",""fgn"":76,""com"":""0"",""total"":239},{""year"":""2020"",""us"":""176"",""fgn"":72,""com"":""0"",""total"":248},{""year"":""2021"",""us"":""193"",""fgn"":71,""com"":""0"",""total"":264},{""year"":""2022"",""us"":""230"",""fgn"":72,""com"":""0"",""total"":302}]"
Childcare/early learning,1997,2011,Children's Businesses,$621K - $5.1M,Lightbridge Academy,Lightbridge Franchise Co. LLC,#192,Ranked #217 last year,"[{""year"":""2013"",""us"":""4"",""fgn"":0,""com"":""11"",""total"":15},{""year"":""2014"",""us"":""5"",""fgn"":0,""com"":""11"",""total"":16},{""year"":""2015"",""us"":""9"",""fgn"":0,""com"":""12"",""total"":21},{""year"":""2016"",""us"":""11"",""fgn"":0,""com"":""12"",""total"":23},{""year"":""2017"",""us"":""15"",""fgn"":0,""com"":""13"",""total"":28},{""year"":""2018"",""us"":""23"",""fgn"":0,""com"":""13"",""total"":36},{""year"":""2019"",""us"":""27"",""fgn"":0,""com"":""13"",""total"":40},{""year"":""2020"",""us"":""33"",""fgn"":0,""com"":""14"",""total"":47},{""year"":""2021"",""us"":""38"",""fgn"":0,""com"":""15"",""total"":53},{""year"":""2022"",""us"":""47"",""fgn"":0,""com"":""17"",""total"":64}]"
Leadership and organizational training and development,1966,1966,Business Services,$20K - $28K,Leadership Management International,Leadership Management International Inc.,#191,Ranked #164 last year,"[{""year"":""2013"",""us"":""177"",""fgn"":318,""com"":""0"",""total"":495},{""year"":""2014"",""us"":""164"",""fgn"":324,""com"":""0"",""total"":488},{""year"":""2015"",""us"":""122"",""fgn"":331,""com"":""0"",""total"":453},{""year"":""2016"",""us"":""117"",""fgn"":346,""com"":""0"",""total"":463},{""year"":""2017"",""us"":""116"",""fgn"":345,""com"":""0"",""total"":461},{""year"":""2018"",""us"":""115"",""fgn"":347,""com"":""0"",""total"":462},{""year"":""2019"",""us"":""115"",""fgn"":346,""com"":""0"",""total"":461},{""year"":""2020"",""us"":""118"",""fgn"":344,""com"":""0"",""total"":462},{""year"":""2021"",""us"":""122"",""fgn"":355,""com"":""0"",""total"":477},{""year"":""2022"",""us"":""114"",""fgn"":369,""com"":""0"",""total"":483}]"
Commercial cleaning,,2004,Maintenance,$10K - $35K,Corvus Janitorial Systems,,#190,Ranked #364 last year,"[{""year"":""2016"",""us"":""626"",""fgn"":0,""com"":""0"",""total"":626},{""year"":""2017"",""us"":""740"",""fgn"":0,""com"":""0"",""total"":740},{""year"":""2018"",""us"":""961"",""fgn"":0,""com"":""0"",""total"":961},{""year"":""2019"",""us"":""1104"",""fgn"":0,""com"":""0"",""total"":1104},{""year"":""2020"",""us"":""1262"",""fgn"":0,""com"":""0"",""total"":1262},{""year"":""2021"",""us"":""1525"",""fgn"":0,""com"":""0"",""total"":1525},{""year"":""2022"",""us"":""1727"",""fgn"":0,""com"":""0"",""total"":1727}]"
Asian-American/Hawaiian food,1976,1991,Food,$152K - $613K,L&L Hawaiian Barbecue,L&L Franchise Inc.,#189,Ranked #199 last year,"[{""year"":""2013"",""us"":""178"",""fgn"":4,""com"":""0"",""total"":182},{""year"":""2014"",""us"":""179"",""fgn"":8,""com"":""0"",""total"":187},{""year"":""2015"",""us"":""179"",""fgn"":5,""com"":""0"",""total"":184},{""year"":""2016"",""us"":""181"",""fgn"":3,""com"":""0"",""total"":184},{""year"":""2017"",""us"":""183"",""fgn"":1,""com"":""0"",""total"":184},{""year"":""2018"",""us"":""183"",""fgn"":2,""com"":""0"",""total"":185},{""year"":""2019"",""us"":""193"",""fgn"":2,""com"":""0"",""total"":195},{""year"":""2020"",""us"":""203"",""fgn"":2,""com"":""0"",""total"":205},{""year"":""2021"",""us"":""206"",""fgn"":2,""com"":""0"",""total"":208},{""year"":""2022"",""us"":""211"",""fgn"":2,""com"":""0"",""total"":213}]"
"Burgers, fries",1986,1989,Food,$791K - $2.4M,Checkers and Rally's,Oak Hill Capital,#188,Ranked #247 last year,"[{""year"":""2013"",""us"":""455"",""fgn"":1,""com"":""321"",""total"":777},{""year"":""2014"",""us"":""465"",""fgn"":1,""com"":""336"",""total"":802},{""year"":""2015"",""us"":""471"",""fgn"":1,""com"":""335"",""total"":807},{""year"":""2016"",""us"":""518"",""fgn"":0,""com"":""315"",""total"":833},{""year"":""2017"",""us"":""567"",""fgn"":0,""com"":""284"",""total"":851},{""year"":""2018"",""us"":""623"",""fgn"":0,""com"":""256"",""total"":879},{""year"":""2019"",""us"":""602"",""fgn"":0,""com"":""260"",""total"":862},{""year"":""2020"",""us"":""605"",""fgn"":0,""com"":""254"",""total"":859},{""year"":""2021"",""us"":""576"",""fgn"":0,""com"":""264"",""total"":840},{""year"":""2022"",""us"":""568"",""fgn"":0,""com"":""266"",""total"":834}]"
Property management,1986,2004,Business Services,$99K - $147K,Real Property Management,Neighborly,#187,Ranked #196 last year,"[{""year"":""2013"",""us"":""241"",""fgn"":5,""com"":""1"",""total"":247},{""year"":""2014"",""us"":""256"",""fgn"":5,""com"":""0"",""total"":261},{""year"":""2015"",""us"":""268"",""fgn"":6,""com"":""0"",""total"":274},{""year"":""2016"",""us"":""268"",""fgn"":7,""com"":""2"",""total"":277},{""year"":""2017"",""us"":""264"",""fgn"":10,""com"":""3"",""total"":277},{""year"":""2018"",""us"":""281"",""fgn"":29,""com"":""0"",""total"":310},{""year"":""2019"",""us"":""298"",""fgn"":27,""com"":""0"",""total"":325},{""year"":""2020"",""us"":""315"",""fgn"":22,""com"":""0"",""total"":337},{""year"":""2021"",""us"":""336"",""fgn"":10,""com"":""0"",""total"":346},{""year"":""2022"",""us"":""389"",""fgn"":10,""com"":""0"",""total"":399}]"
Hotels,1974,1976,Lodging,$221K - $5.5M,Super 8 by Wyndham,Wyndham Hotels & Resorts,#186,Ranked #162 last year,"[{""year"":""2013"",""us"":""1738"",""fgn"":644,""com"":""0"",""total"":2382},{""year"":""2014"",""us"":""1689"",""fgn"":821,""com"":""0"",""total"":2510},{""year"":""2015"",""us"":""1658"",""fgn"":891,""com"":""0"",""total"":2549},{""year"":""2016"",""us"":""1642"",""fgn"":1065,""com"":""0"",""total"":2707},{""year"":""2017"",""us"":""1617"",""fgn"":1256,""com"":""0"",""total"":2873},{""year"":""2018"",""us"":""1591"",""fgn"":1245,""com"":""0"",""total"":2836},{""year"":""2019"",""us"":""1590"",""fgn"":1299,""com"":""0"",""total"":2889},{""year"":""2020"",""us"":""1551"",""fgn"":1374,""com"":""0"",""total"":2925},{""year"":""2021"",""us"":""1506"",""fgn"":1217,""com"":""0"",""total"":2723},{""year"":""2022"",""us"":""1486"",""fgn"":1207,""com"":""0"",""total"":2693}]"
Lawn care,1970,1976,Maintenance,$81K - $108K,Weed Man,TH Canada Inc.,#185,Ranked #171 last year,"[{""year"":""2013"",""us"":""145"",""fgn"":138,""com"":""0"",""total"":283},{""year"":""2014"",""us"":""166"",""fgn"":138,""com"":""0"",""total"":304},{""year"":""2015"",""us"":""177"",""fgn"":138,""com"":""0"",""total"":315},{""year"":""2016"",""us"":""192"",""fgn"":138,""com"":""0"",""total"":330},{""year"":""2017"",""us"":""197"",""fgn"":138,""com"":""0"",""total"":335},{""year"":""2018"",""us"":""204"",""fgn"":138,""com"":""0"",""total"":342},{""year"":""2019"",""us"":""208"",""fgn"":95,""com"":""41"",""total"":344},{""year"":""2020"",""us"":""209"",""fgn"":99,""com"":""41"",""total"":349},{""year"":""2021"",""us"":""222"",""fgn"":95,""com"":""45"",""total"":362},{""year"":""2022"",""us"":""237"",""fgn"":50,""com"":""45"",""total"":332}]"
Home and commercial property inspections and related services,1992,1992,Services (Other),$60K - $87K,HomeTeam Inspection Service,"Adam Long, President",#250,Ranked #241 last year,"[{""year"":""2013"",""us"":""147"",""fgn"":4,""com"":""0"",""total"":151},{""year"":""2014"",""us"":""137"",""fgn"":3,""com"":""0"",""total"":140},{""year"":""2015"",""us"":""131"",""fgn"":3,""com"":""0"",""total"":134},{""year"":""2016"",""us"":""149"",""fgn"":3,""com"":""0"",""total"":152},{""year"":""2017"",""us"":""164"",""fgn"":3,""com"":""0"",""total"":167},{""year"":""2018"",""us"":""167"",""fgn"":2,""com"":""0"",""total"":169},{""year"":""2019"",""us"":""172"",""fgn"":2,""com"":""0"",""total"":174},{""year"":""2020"",""us"":""188"",""fgn"":2,""com"":""0"",""total"":190},{""year"":""2021"",""us"":""200"",""fgn"":2,""com"":""0"",""total"":202},{""year"":""2022"",""us"":""205"",""fgn"":1,""com"":""0"",""total"":206}]"
