description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
"Smoothies, salads, wraps, sandwiches, flatbreads",1997,1997,Food,$277K - $584K,Tropical Smoothie Cafe,"Charles Watson, CEO",#11,Ranked #10 last year,"[{""year"":""2013"",""us"":""343"",""fgn"":0,""com"":""0"",""total"":343},{""year"":""2014"",""us"":""384"",""fgn"":0,""com"":""1"",""total"":385},{""year"":""2015"",""us"":""461"",""fgn"":0,""com"":""1"",""total"":462},{""year"":""2016"",""us"":""506"",""fgn"":0,""com"":""1"",""total"":507},{""year"":""2017"",""us"":""597"",""fgn"":0,""com"":""1"",""total"":598},{""year"":""2018"",""us"":""676"",""fgn"":0,""com"":""1"",""total"":677},{""year"":""2019"",""us"":""783"",""fgn"":0,""com"":""1"",""total"":784},{""year"":""2020"",""us"":""870"",""fgn"":0,""com"":""1"",""total"":871},{""year"":""2021"",""us"":""990"",""fgn"":0,""com"":""1"",""total"":991},{""year"":""2022"",""us"":""1141"",""fgn"":0,""com"":""1"",""total"":1142}]"
"Sandwiches, fries, shakes",1964,1965,Food,$629K - $2.3M,Arby's,Inspire Brands,#12,Ranked #18 last year,"[{""year"":""2013"",""us"":""2313"",""fgn"":135,""com"":""956"",""total"":3404},{""year"":""2014"",""us"":""2318"",""fgn"":136,""com"":""941"",""total"":3395},{""year"":""2015"",""us"":""2210"",""fgn"":127,""com"":""1004"",""total"":3341},{""year"":""2016"",""us"":""2150"",""fgn"":122,""com"":""1051"",""total"":3323},{""year"":""2017"",""us"":""2193"",""fgn"":120,""com"":""1032"",""total"":3345},{""year"":""2018"",""us"":""2175"",""fgn"":137,""com"":""1117"",""total"":3429},{""year"":""2019"",""us"":""2207"",""fgn"":148,""com"":""1137"",""total"":3492},{""year"":""2020"",""us"":""2161"",""fgn"":154,""com"":""1190"",""total"":3505},{""year"":""2021"",""us"":""2189"",""fgn"":154,""com"":""1197"",""total"":3540},{""year"":""2022"",""us"":""2291"",""fgn"":154,""com"":""1116"",""total"":3561}]"
Chicken,1930,1952,Food,$1.4M - $3.2M,KFC,Yum! Brands Inc.,#13,Ranked #26 last year,"[{""year"":""2013"",""us"":""4381"",""fgn"":9158,""com"":""4659"",""total"":18198},{""year"":""2014"",""us"":""4285"",""fgn"":9561,""com"":""5029"",""total"":18875},{""year"":""2015"",""us"":""4164"",""fgn"":9998,""com"":""5258"",""total"":19420},{""year"":""2016"",""us"":""4064"",""fgn"":10567,""com"":""5321"",""total"":19952},{""year"":""2017"",""us"":""3926"",""fgn"":15537,""com"":""1363"",""total"":20826},{""year"":""2018"",""us"":""4011"",""fgn"":16764,""com"":""668"",""total"":21443},{""year"":""2019"",""us"":""3980"",""fgn"":18794,""com"":""329"",""total"":23103},{""year"":""2020"",""us"":""3969"",""fgn"":20098,""com"":""327"",""total"":24394},{""year"":""2021"",""us"":""3860"",""fgn"":21530,""com"":""290"",""total"":25680},{""year"":""2022"",""us"":""3872"",""fgn"":22405,""com"":""221"",""total"":26498}]"
"Burgers, chicken, salads, beverages",1955,1955,Food,$1.4M - $2.5M,McDonald's,"Chris Kempczinski, CEO",#14,Ranked #14 last year,"[{""year"":""2013"",""us"":""12678"",""fgn"":15573,""com"":""6642"",""total"":34893},{""year"":""2014"",""us"":""12757"",""fgn"":16237,""com"":""6689"",""total"":35683},{""year"":""2015"",""us"":""12899"",""fgn"":17182,""com"":""6444"",""total"":36525},{""year"":""2016"",""us"":""12978"",""fgn"":17389,""com"":""6137"",""total"":36504},{""year"":""2017"",""us"":""13109"",""fgn"":18827,""com"":""5075"",""total"":37011},{""year"":""2018"",""us"":""13232"",""fgn"":21289,""com"":""2885"",""total"":37406},{""year"":""2019"",""us"":""13226"",""fgn"":22235,""com"":""2647"",""total"":38108},{""year"":""2020"",""us"":""13175"",""fgn"":23196,""com"":""2649"",""total"":39020},{""year"":""2021"",""us"":""12788"",""fgn"":23929,""com"":""2679"",""total"":39396},{""year"":""2022"",""us"":""12772"",""fgn"":24892,""com"":""2032"",""total"":39696}]"
"Burgers, chicken sandwiches, breakfast sandwiches",1969,1971,Food,$330K - $3.7M,Wendy's,Wendy's Int'l. Inc.,#15,Not ranked last year,"[{""year"":""2019"",""us"":""5460"",""fgn"":908,""com"":""357"",""total"":6725},{""year"":""2020"",""us"":""5508"",""fgn"":945,""com"":""360"",""total"":6813},{""year"":""2021"",""us"":""5587"",""fgn"":983,""com"":""314"",""total"":6884},{""year"":""2022"",""us"":""5586"",""fgn"":1051,""com"":""412"",""total"":7049}]"
"Fire, water, and other damage cleanup, restoration, and reconstruction",1967,1969,Maintenance,$236K - $297K,Servpro,Commodore Parent Holdings LLC,#16,Ranked #8 last year,"[{""year"":""2013"",""us"":""1586"",""fgn"":3,""com"":""0"",""total"":1589},{""year"":""2014"",""us"":""1605"",""fgn"":8,""com"":""0"",""total"":1613},{""year"":""2015"",""us"":""1612"",""fgn"":11,""com"":""0"",""total"":1623},{""year"":""2016"",""us"":""1634"",""fgn"":11,""com"":""0"",""total"":1645},{""year"":""2017"",""us"":""1657"",""fgn"":14,""com"":""0"",""total"":1671},{""year"":""2018"",""us"":""1672"",""fgn"":15,""com"":""0"",""total"":1687},{""year"":""2019"",""us"":""1698"",""fgn"":17,""com"":""0"",""total"":1715},{""year"":""2020"",""us"":""1825"",""fgn"":16,""com"":""0"",""total"":1841},{""year"":""2021"",""us"":""1915"",""fgn"":15,""com"":""0"",""total"":1930},{""year"":""2022"",""us"":""2036"",""fgn"":14,""com"":""0"",""total"":2050}]"
Upscale extended-stay hotels,1988,1988,Lodging,$20.3M - $30.1M,Homewood Suites by Hilton,Hilton,#50,Ranked #85 last year,"[{""year"":""2013"",""us"":""322"",""fgn"":11,""com"":""0"",""total"":333},{""year"":""2014"",""us"":""330"",""fgn"":16,""com"":""0"",""total"":346},{""year"":""2015"",""us"":""353"",""fgn"":14,""com"":""0"",""total"":367},{""year"":""2016"",""us"":""382"",""fgn"":17,""com"":""0"",""total"":399},{""year"":""2017"",""us"":""416"",""fgn"":19,""com"":""0"",""total"":435},{""year"":""2018"",""us"":""445"",""fgn"":23,""com"":""0"",""total"":468},{""year"":""2019"",""us"":""468"",""fgn"":24,""com"":""0"",""total"":492},{""year"":""2020"",""us"":""482"",""fgn"":25,""com"":""0"",""total"":507},{""year"":""2021"",""us"":""495"",""fgn"":26,""com"":""0"",""total"":521},{""year"":""2022"",""us"":""507"",""fgn"":27,""com"":""0"",""total"":534}]"
"Cinnamon rolls, baked goods, coffee",1985,1986,Food,$112K - $547K,Cinnabon,Focus Brands LLC,#49,Ranked #28 last year,"[{""year"":""2013"",""us"":""579"",""fgn"":523,""com"":""1"",""total"":1103},{""year"":""2014"",""us"":""652"",""fgn"":563,""com"":""1"",""total"":1216},{""year"":""2015"",""us"":""747"",""fgn"":593,""com"":""2"",""total"":1342},{""year"":""2016"",""us"":""740"",""fgn"":609,""com"":""2"",""total"":1351},{""year"":""2017"",""us"":""834"",""fgn"":630,""com"":""2"",""total"":1466},{""year"":""2018"",""us"":""897"",""fgn"":615,""com"":""1"",""total"":1513},{""year"":""2019"",""us"":""923"",""fgn"":616,""com"":""1"",""total"":1540},{""year"":""2020"",""us"":""940"",""fgn"":691,""com"":""2"",""total"":1633},{""year"":""2021"",""us"":""953"",""fgn"":814,""com"":""1"",""total"":1768},{""year"":""2022"",""us"":""937"",""fgn"":868,""com"":""2"",""total"":1807}]"
"Sandwiches, salads, baked potatoes",1989,1994,Food,$394K - $2.2M,McAlister's Deli,Focus Brands,#48,Ranked #40 last year,"[{""year"":""2013"",""us"":""272"",""fgn"":0,""com"":""47"",""total"":319},{""year"":""2014"",""us"":""281"",""fgn"":0,""com"":""46"",""total"":327},{""year"":""2015"",""us"":""318"",""fgn"":0,""com"":""43"",""total"":361},{""year"":""2016"",""us"":""344"",""fgn"":0,""com"":""32"",""total"":376},{""year"":""2017"",""us"":""355"",""fgn"":0,""com"":""32"",""total"":387},{""year"":""2018"",""us"":""400"",""fgn"":0,""com"":""28"",""total"":428},{""year"":""2019"",""us"":""423"",""fgn"":0,""com"":""29"",""total"":452},{""year"":""2020"",""us"":""438"",""fgn"":0,""com"":""31"",""total"":469},{""year"":""2021"",""us"":""456"",""fgn"":0,""com"":""35"",""total"":491},{""year"":""2022"",""us"":""472"",""fgn"":0,""com"":""44"",""total"":516}]"
Shaved-ice trucks,2007,2008,Food,$150K - $189K,Kona Ice,"Tony Lamb, Founder & CEO",#47,Ranked #73 last year,"[{""year"":""2013"",""us"":""457"",""fgn"":1,""com"":""11"",""total"":469},{""year"":""2014"",""us"":""557"",""fgn"":2,""com"":""15"",""total"":574},{""year"":""2015"",""us"":""663"",""fgn"":4,""com"":""10"",""total"":677},{""year"":""2016"",""us"":""796"",""fgn"":3,""com"":""15"",""total"":814},{""year"":""2017"",""us"":""891"",""fgn"":3,""com"":""14"",""total"":908},{""year"":""2018"",""us"":""1045"",""fgn"":3,""com"":""18"",""total"":1066},{""year"":""2019"",""us"":""1176"",""fgn"":4,""com"":""19"",""total"":1199},{""year"":""2020"",""us"":""1279"",""fgn"":7,""com"":""19"",""total"":1305},{""year"":""2021"",""us"":""1359"",""fgn"":10,""com"":""26"",""total"":1395},{""year"":""2022"",""us"":""1442"",""fgn"":12,""com"":""26"",""total"":1480},{""year"":""2023"",""us"":""1490"",""fgn"":15,""com"":""7"",""total"":1512}]"
Upper upscale hotels and resorts,1919,1965,Lodging,$38.7M - $162.3M,Hilton Hotels and Resorts,Hilton,#46,Ranked #64 last year,"[{""year"":""2013"",""us"":""188"",""fgn"":217,""com"":""114"",""total"":519},{""year"":""2014"",""us"":""179"",""fgn"":223,""com"":""113"",""total"":515},{""year"":""2015"",""us"":""179"",""fgn"":234,""com"":""113"",""total"":526},{""year"":""2016"",""us"":""183"",""fgn"":247,""com"":""109"",""total"":539},{""year"":""2017"",""us"":""182"",""fgn"":260,""com"":""69"",""total"":511},{""year"":""2018"",""us"":""181"",""fgn"":266,""com"":""64"",""total"":511},{""year"":""2019"",""us"":""179"",""fgn"":274,""com"":""63"",""total"":516},{""year"":""2020"",""us"":""177"",""fgn"":274,""com"":""61"",""total"":512},{""year"":""2021"",""us"":""184"",""fgn"":290,""com"":""56"",""total"":530},{""year"":""2022"",""us"":""185"",""fgn"":305,""com"":""50"",""total"":540}]"
"Staffing, HR solutions",1983,1985,Business Services,$140K - $400K,Express Employment Professionals,Express Services Inc.,#45,Ranked #25 last year,"[{""year"":""2013"",""us"":""584"",""fgn"":48,""com"":""0"",""total"":632},{""year"":""2014"",""us"":""620"",""fgn"":45,""com"":""0"",""total"":665},{""year"":""2015"",""us"":""677"",""fgn"":48,""com"":""0"",""total"":725},{""year"":""2016"",""us"":""701"",""fgn"":48,""com"":""0"",""total"":749},{""year"":""2017"",""us"":""712"",""fgn"":49,""com"":""0"",""total"":761},{""year"":""2018"",""us"":""728"",""fgn"":47,""com"":""4"",""total"":779},{""year"":""2019"",""us"":""749"",""fgn"":51,""com"":""0"",""total"":800},{""year"":""2020"",""us"":""764"",""fgn"":58,""com"":""0"",""total"":822},{""year"":""2021"",""us"":""779"",""fgn"":66,""com"":""3"",""total"":848},{""year"":""2022"",""us"":""785"",""fgn"":72,""com"":""1"",""total"":858}]"
"Ice cream, frozen yogurt, frozen beverages",1945,1948,Food,$294K - $636K,Baskin-Robbins,Inspire Brands,#44,Ranked #36 last year,"[{""year"":""2013"",""us"":""2471"",""fgn"":4674,""com"":""7"",""total"":7152},{""year"":""2014"",""us"":""2473"",""fgn"":4932,""com"":""7"",""total"":7412},{""year"":""2015"",""us"":""2482"",""fgn"":5145,""com"":""8"",""total"":7635},{""year"":""2016"",""us"":""2524"",""fgn"":5198,""com"":""6"",""total"":7728},{""year"":""2017"",""us"":""2551"",""fgn"":5341,""com"":""0"",""total"":7892},{""year"":""2018"",""us"":""2561"",""fgn"":5450,""com"":""0"",""total"":8011},{""year"":""2019"",""us"":""2556"",""fgn"":5516,""com"":""0"",""total"":8072},{""year"":""2020"",""us"":""2511"",""fgn"":5470,""com"":""0"",""total"":7981},{""year"":""2021"",""us"":""2429"",""fgn"":5323,""com"":""0"",""total"":7752},{""year"":""2022"",""us"":""2276"",""fgn"":5459,""com"":""0"",""total"":7735}]"
Preschool/educational childcare,1979,2003,Children's Businesses,$589K - $5.2M,The Learning Experience Academy of Early Education,"Richard Weissman, Chairman & CEO",#43,Ranked #68 last year,"[{""year"":""2013"",""us"":""115"",""fgn"":0,""com"":""16"",""total"":131},{""year"":""2014"",""us"":""109"",""fgn"":0,""com"":""21"",""total"":130},{""year"":""2015"",""us"":""118"",""fgn"":0,""com"":""25"",""total"":143},{""year"":""2016"",""us"":""143"",""fgn"":0,""com"":""30"",""total"":173},{""year"":""2017"",""us"":""159"",""fgn"":0,""com"":""20"",""total"":179},{""year"":""2018"",""us"":""192"",""fgn"":0,""com"":""20"",""total"":212},{""year"":""2019"",""us"":""212"",""fgn"":0,""com"":""23"",""total"":235},{""year"":""2020"",""us"":""217"",""fgn"":0,""com"":""26"",""total"":243},{""year"":""2021"",""us"":""254"",""fgn"":0,""com"":""29"",""total"":283},{""year"":""2022"",""us"":""281"",""fgn"":0,""com"":""35"",""total"":316},{""year"":""2023"",""us"":""287"",""fgn"":0,""com"":""41"",""total"":328}]"
"Burgers, hot dogs, chicken sandwiches, breakfast, ice cream, beverages",1953,1959,Food,$717K - $3.5M,Sonic Drive-In,Inspire Brands,#42,Ranked #38 last year,"[{""year"":""2013"",""us"":""3147"",""fgn"":0,""com"":""409"",""total"":3556},{""year"":""2014"",""us"":""3126"",""fgn"":0,""com"":""396"",""total"":3522},{""year"":""2015"",""us"":""3127"",""fgn"":0,""com"":""391"",""total"":3518},{""year"":""2016"",""us"":""3149"",""fgn"":0,""com"":""377"",""total"":3526},{""year"":""2017"",""us"":""3291"",""fgn"":0,""com"":""267"",""total"":3558},{""year"":""2018"",""us"":""3360"",""fgn"":0,""com"":""228"",""total"":3588},{""year"":""2019"",""us"":""3424"",""fgn"":0,""com"":""176"",""total"":3600},{""year"":""2020"",""us"":""3254"",""fgn"":0,""com"":""271"",""total"":3525},{""year"":""2021"",""us"":""3223"",""fgn"":0,""com"":""311"",""total"":3534},{""year"":""2022"",""us"":""3232"",""fgn"":0,""com"":""320"",""total"":3552}]"
"Soft-serve ice cream, burgers, chicken",1940,1940,Food,$1.5M - $2.4M,Dairy Queen,International Dairy Queen Inc.,#41,Ranked #41 last year,"[{""year"":""2013"",""us"":""4455"",""fgn"":1773,""com"":""3"",""total"":6231},{""year"":""2014"",""us"":""4442"",""fgn"":1943,""com"":""3"",""total"":6388},{""year"":""2015"",""us"":""4437"",""fgn"":2092,""com"":""2"",""total"":6531},{""year"":""2016"",""us"":""4461"",""fgn"":2248,""com"":""2"",""total"":6711},{""year"":""2017"",""us"":""4442"",""fgn"":2311,""com"":""2"",""total"":6755},{""year"":""2018"",""us"":""4384"",""fgn"":2478,""com"":""2"",""total"":6864},{""year"":""2019"",""us"":""4364"",""fgn"":2671,""com"":""2"",""total"":7037},{""year"":""2020"",""us"":""4353"",""fgn"":2679,""com"":""2"",""total"":7034},{""year"":""2021"",""us"":""4323"",""fgn"":2762,""com"":""2"",""total"":7087},{""year"":""2022"",""us"":""4301"",""fgn"":2870,""com"":""2"",""total"":7173},{""year"":""2023"",""us"":""4305"",""fgn"":2961,""com"":""2"",""total"":7268}]"
"Pizza, pasta, wings",1958,1959,Food,$367K - $2.1M,Pizza Hut,Yum! Brands Inc.,#40,Ranked #60 last year,"[{""year"":""2013"",""us"":""5841"",""fgn"":5396,""com"":""1657"",""total"":12894},{""year"":""2014"",""us"":""5826"",""fgn"":5601,""com"":""2011"",""total"":13438},{""year"":""2015"",""us"":""5780"",""fgn"":5911,""com"":""2357"",""total"":14048},{""year"":""2016"",""us"":""5885"",""fgn"":8104,""com"":""686"",""total"":14675},{""year"":""2017"",""us"":""5885"",""fgn"":8760,""com"":""352"",""total"":14997},{""year"":""2018"",""us"":""6021"",""fgn"":9304,""com"":""93"",""total"":15418},{""year"":""2019"",""us"":""6087"",""fgn"":11033,""com"":""56"",""total"":17176},{""year"":""2020"",""us"":""5953"",""fgn"":11177,""com"":""97"",""total"":17227},{""year"":""2021"",""us"":""5310"",""fgn"":11225,""com"":""53"",""total"":16588},{""year"":""2022"",""us"":""5295"",""fgn"":12041,""com"":""22"",""total"":17358}]"
